"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","323,127,515","4,214,856","789,830","2,811,885","1,438,915","3,813,407","1,803,575"
"        One race","96.8%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"        Two races","2.9%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Three races","0.3%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","323,127,515","4,214,856","789,830","2,811,885","1,438,915","3,813,407","1,803,575"
"        Male","49.2%","46.5%","41.8%","43.8%","44.2%","52.1%","48.1%"
"        Female","50.8%","53.5%","58.2%","56.2%","55.8%","47.9%","51.9%"
"    Under 5 years","6.1%","4.4%","2.8%","3.5%","3.4%","7.4%","4.6%"
"    5 to 17 years","16.7%","13.3%","7.4%","12.6%","12.7%","16.1%","16.3%"
"    18 to 24 years","9.6%","11.5%","5.3%","8.9%","9.8%","7.9%","10.1%"
"    25 to 34 years","13.7%","16.6%","10.3%","14.3%","15.6%","21.9%","13.6%"
"    35 to 44 years","12.6%","13.8%","15.9%","15.9%","16.7%","19.7%","15.8%"
"    45 to 54 years","13.2%","14.5%","15.4%","15.7%","15.6%","11.2%","16.2%"
"    55 to 64 years","12.8%","12.4%","16.3%","13.7%","12.7%","7.7%","12.3%"
"    65 to 74 years","8.9%","7.8%","11.9%","9.7%","8.0%","5.6%","7.3%"
"    75 years and over","6.4%","5.8%","14.7%","5.7%","5.4%","2.6%","4.0%"
"    Median age (years)","37.9","38.1","50.6","41.9","40.2","33.7","39.0"
"    18 years and over","77.2%","82.3%","89.8%","83.9%","83.9%","76.5%","79.1%"
"    21 years and over","73.1%","77.5%","87.6%","80.1%","79.9%","73.4%","74.6%"
"    62 years and over","18.8%","17.1%","31.3%","19.2%","16.5%","10.3%","14.4%"
"    65 years and over","15.2%","13.6%","26.6%","15.3%","13.5%","8.1%","11.2%"
"    Under 18 years","73,637,743","744,107","80,410","453,848","231,096","896,339","376,396"
"        Male","51.2%","48.0%","50.8%","52.4%","52.1%","51.4%","51.6%"
"        Female","48.8%","52.0%","49.2%","47.6%","47.9%","48.6%","48.4%"
"    18 years and over","249,489,772","3,470,749","709,420","2,358,037","1,207,819","2,917,068","1,427,179"
"        Male","48.7%","46.1%","40.8%","42.2%","42.7%","52.3%","47.1%"
"        Female","51.3%","53.9%","59.2%","57.8%","57.3%","47.7%","52.9%"
"    18 to 34 years","75,404,540","1,184,192","123,072","653,282","365,434","1,135,404","427,512"
"        Male","50.8%","47.9%","48.2%","47.8%","47.7%","52.0%","48.6%"
"        Female","49.2%","52.1%","51.8%","52.2%","52.3%","48.0%","51.4%"
"    35 to 64 years","124,870,067","1,713,118","376,109","1,274,272","648,432","1,471,705","797,387"
"        Male","49.1%","44.9%","42.0%","40.9%","41.1%","52.5%","47.0%"
"        Female","50.9%","55.1%","58.0%","59.1%","58.9%","47.5%","53.0%"
