"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","321,418,821","4,133,674","757,468","2,848,148","1,460,483","3,699,957","1,738,848"
"        One race","96.9%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"        Two races","2.8%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Three races","0.2%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","321,418,821","4,133,674","757,468","2,848,148","1,460,483","3,699,957","1,738,848"
"        Male","49.2%","46.4%","42.0%","43.9%","45.0%","51.9%","48.0%"
"        Female","50.8%","53.6%","58.0%","56.1%","55.0%","48.1%","52.0%"
"    Under 5 years","6.2%","4.3%","2.8%","3.8%","3.8%","7.4%","4.3%"
"    5 to 17 years","16.7%","13.3%","7.4%","13.0%","12.8%","16.1%","16.6%"
"    18 to 24 years","9.8%","11.6%","6.5%","8.7%","10.4%","7.9%","10.6%"
"    25 to 34 years","13.7%","16.0%","10.1%","14.7%","16.1%","21.9%","13.9%"
"    35 to 44 years","12.7%","14.5%","15.1%","16.0%","17.0%","19.2%","16.4%"
"    45 to 54 years","13.4%","14.7%","15.6%","15.3%","14.7%","11.4%","15.5%"
"    55 to 64 years","12.7%","12.4%","16.0%","13.7%","12.1%","8.2%","11.9%"
"    65 to 74 years","8.6%","7.5%","12.1%","9.4%","7.8%","5.4%","7.0%"
"    75 years and over","6.3%","5.7%","14.5%","5.4%","5.3%","2.6%","3.8%"
"    Median age (years)","37.8","38.4","50.3","41.4","39.5","33.6","38.5"
