"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","313,914,040","3,660,659","780,210","2,658,354","1,450,401","3,049,201","1,675,246"
"    One race","97.1%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"    Two races","2.6%","(X)","(X)","(X)","(X)","(X)","(X)"
"    Three races","0.2%","(X)","(X)","(X)","(X)","(X)","(X)"
"    Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","313,914,040","3,660,659","780,210","2,658,354","1,450,401","3,049,201","1,675,246"
"    Male","49.2%","46.6%","42.5%","44.0%","44.7%","51.8%","48.1%"
"    Female","50.8%","53.4%","57.5%","56.0%","55.3%","48.2%","51.9%"
"    Under 5 years","6.3%","4.5%","2.4%","4.2%","4.7%","8.0%","5.4%"
"    5 to 17 years","17.1%","14.4%","7.4%","14.3%","13.5%","16.0%","17.9%"
"    18 to 24 years","10.0%","11.9%","6.1%","8.8%","11.1%","7.9%","10.1%"
"    25 to 34 years","13.4%","14.8%","11.6%","14.6%","15.9%","23.3%","13.7%"
"    35 to 44 years","13.0%","15.2%","15.1%","17.1%","17.9%","18.8%","18.8%"
"    45 to 54 years","14.1%","15.4%","17.0%","15.1%","14.3%","10.9%","13.8%"
"    55 to 64 years","12.3%","12.3%","15.8%","13.0%","11.3%","8.0%","11.4%"
"    65 to 74 years","7.6%","6.2%","10.1%","8.1%","6.9%","4.8%","6.0%"
"    75 years and over","6.1%","5.2%","14.6%","4.7%","4.3%","2.2%","3.0%"
"    Median age (years)","37.4","38.0","49.5","39.8","37.8","32.8","36.9"
"    18 years and over","76.5%","81.0%","90.2%","81.5%","81.8%","76.0%","76.8%"
"    21 years and over","72.1%","76.4%","87.8%","77.8%","77.1%","72.8%","72.4%"
"    62 years and over","17.1%","14.7%","28.8%","16.3%","14.1%","9.2%","12.2%"
"    65 years and over","13.7%","11.4%","24.7%","12.8%","11.2%","7.0%","9.0%"
"    Under 18 years","73,710,410","694,541","76,602","493,057","264,454","731,757","388,921"
"    Male","51.1%","47.1%","48.4%","51.1%","53.7%","51.2%","50.4%"
"    Female","48.9%","52.9%","51.6%","48.9%","46.3%","48.8%","49.6%"
"    18 years and over","240,203,630","2,966,118","703,608","2,165,297","1,185,947","2,317,444","1,286,325"
"    Male","48.6%","46.4%","41.9%","42.4%","42.7%","52.0%","47.5%"
"    Female","51.4%","53.6%","58.1%","57.6%","57.3%","48.0%","52.5%"
"    18 to 34 years","73,572,978","976,837","138,009","623,416","392,479","952,635","399,069"
"    Male","50.7%","48.5%","45.4%","48.1%","46.2%","50.6%","46.7%"
"    Female","49.3%","51.5%","54.6%","51.9%","53.8%","49.4%","53.3%"
"    35 to 64 years","123,490,175","1,572,746","373,194","1,201,834","631,527","1,151,534","736,186"
"    Male","49.1%","45.5%","43.3%","40.8%","41.0%","52.8%","48.0%"
"    Female","50.9%","54.5%","56.7%","59.2%","59.0%","47.2%","52.0%"
"    65 years and over","43,140,477","416,535","192,405","340,047","161,941","213,275","151,070"
"    Male","43.6%","45.0%","36.6%","37.5%","40.7%","53.9%","46.9%"
"    Female","56.4%","55.0%","63.4%","62.5%","59.3%","46.1%","53.1%"
"RELATIONSHIP","","","","","","",""
"    Population in households","305,885,362","3,553,982","761,751","2,619,585","1,401,668","3,006,233","1,651,672"
"    Householder or spouse","56.1%","55.1%","71.5%","49.6%","60.1%","56.5%","46.3%"
"    Child","30.7%","26.4%","16.3%","28.3%","26.9%","30.4%","32.2%"
"    Other relatives","7.3%","11.2%","5.9%","16.3%","7.5%","9.0%","16.0%"
"    Nonrelatives","5.9%","7.3%","6.3%","5.8%","5.5%","4.1%","5.5%"
"        Unmarried partner","2.3%","1.1%","1.7%","1.6%","1.2%","0.4%","1.3%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","115,969,540","1,221,206","335,113","745,666","506,211","977,213","464,437"
"    Family households","66.0%","69.8%","59.4%","77.7%","67.4%","79.8%","80.7%"
"        With own children under 18 years","29.0%","31.9%","20.6%","36.4%","30.8%","46.6%","42.7%"
"        Married-couple family","48.1%","56.4%","47.2%","57.5%","54.9%","73.5%","60.0%"
"            With own children under 18 years","19.3%","27.1%","17.1%","28.2%","26.7%","43.9%","34.0%"
"        Female householder, no husband present, family","13.1%","8.9%","8.7%","15.4%","8.5%","3.9%","13.3%"
"            With own children under 18 years","7.3%","3.6%","2.8%","6.6%","3.4%","2.0%","6.5%"
"    Nonfamily households","34.0%","30.2%","40.6%","22.3%","32.6%","20.2%","19.3%"
"        Male householder","15.8%","13.8%","18.0%","9.3%","12.6%","13.2%","10.5%"
"            Living alone","12.4%","9.6%","15.2%","7.1%","9.7%","9.3%","7.8%"
"            Not living alone","3.5%","4.2%","2.9%","2.2%","2.9%","3.9%","2.7%"
"        Female householder","18.2%","16.4%","22.6%","13.0%","20.0%","7.0%","8.8%"
"            Living alone","15.5%","12.4%","19.7%","10.1%","16.5%","5.6%","6.3%"
"            Not living alone","2.7%","4.0%","2.9%","2.9%","3.4%","1.4%","2.5%"
"    Average household size","2.64","2.86","2.33","3.46","2.65","3.11","3.54"
"    Average family size","3.25","3.37","3.03","3.90","3.24","3.49","3.92"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","252,745,149","3,090,466","717,331","2,261,474","1,234,255","2,409,225","1,354,199"
"    Now married, except separated","48.0%","56.7%","56.4%","54.4%","55.8%","69.3%","53.4%"
"    Widowed","5.9%","4.4%","8.7%","5.8%","4.5%","3.0%","4.1%"
"    Divorced","11.1%","4.8%","8.1%","6.6%","6.0%","2.5%","6.4%"
"    Separated","2.2%","0.9%","1.3%","1.9%","1.1%","0.8%","1.5%"
"    Never married","32.7%","33.2%","25.5%","31.3%","32.6%","24.4%","34.6%"
"    Male 15 years and over","123,174,537","1,434,832","300,580","965,797","532,785","1,251,717","643,764"
"    Now married, except separated","49.8%","57.8%","56.2%","53.7%","56.3%","68.0%","54.4%"
"    Widowed","2.5%","1.5%","2.9%","1.6%","1.4%","1.1%","1.4%"
"    Divorced","9.8%","3.5%","7.4%","5.2%","3.9%","2.2%","4.8%"
"    Separated","1.9%","0.8%","1.4%","1.5%","0.7%","0.6%","1.5%"
"    Never married","36.0%","36.5%","32.1%","38.0%","37.6%","28.1%","37.9%"
"    Female 15 years and over","129,570,612","1,655,634","416,751","1,295,677","701,470","1,157,508","710,435"
"    Now married, except separated","46.3%","55.7%","56.5%","54.9%","55.4%","70.7%","52.5%"
"    Widowed","9.2%","7.0%","12.9%","8.9%","6.9%","5.0%","6.4%"
"    Divorced","12.4%","6.0%","8.5%","7.6%","7.6%","2.9%","7.9%"
"    Separated","2.5%","1.0%","1.3%","2.2%","1.4%","0.9%","1.6%"
"    Never married","29.6%","30.3%","20.7%","26.4%","28.7%","20.5%","31.6%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","83,085,860","1,104,929","133,808","651,791","438,080","858,419","513,822"
"    Nursery school, preschool","6.1%","5.2%","5.5%","3.8%","5.5%","8.5%","4.5%"
"    Kindergarten","5.1%","3.5%","3.2%","4.0%","3.0%","5.8%","4.6%"
"    Elementary school (grades 1-8)","39.6%","28.7%","26.4%","34.8%","27.5%","35.6%","36.2%"
"    High school (grades 9-12)","20.5%","15.2%","14.3%","19.5%","15.4%","14.6%","18.2%"
"    College or graduate school","28.8%","47.4%","50.5%","37.8%","48.6%","35.5%","36.5%"
"    Male 3 years and over enrolled in school","40,922,749","523,075","58,004","318,146","221,775","445,864","253,964"
"    Percent enrolled in kindergarten to grade 12","67.9%","46.1%","48.9%","60.9%","48.3%","56.1%","60.7%"
"    Percent enrolled in college or graduate school","25.7%","48.6%","46.4%","35.2%","46.1%","35.5%","34.8%"
"        Female 3 years and over enrolled in school","42,163,111","581,854","75,804","333,645","216,305","412,555","259,858"
"    Percent enrolled in kindergarten to grade 12","62.5%","48.6%","40.1%","55.9%","43.6%","55.9%","57.2%"
"    Percent enrolled in college or graduate school","31.7%","46.3%","53.7%","40.3%","51.1%","35.4%","38.2%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
"    Population 25 years and over","208,731,498","2,530,233","655,932","1,930,672","1,024,645","2,075,065","1,117,065"
"    Less than high school diploma","13.6%","18.4%","4.8%","7.6%","7.7%","8.2%","29.2%"
"    High school graduate (includes equivalency)","28.0%","14.3%","19.0%","15.2%","18.4%","8.8%","21.6%"
"    Some college or associate's degree","29.2%","14.7%","27.2%","29.2%","20.3%","10.7%","23.5%"
"    Bachelor's degree","18.2%","25.5%","31.8%","39.2%","34.3%","32.5%","18.7%"
"    Graduate or professional degree","10.9%","27.1%","17.2%","8.8%","19.3%","39.7%","7.0%"
"    High school graduate or higher","86.4%","81.6%","95.2%","92.4%","92.3%","91.8%","70.8%"
"    Male, high school graduate or higher","85.7%","82.5%","97.0%","93.8%","95.8%","94.3%","75.1%"
"    Female, high school graduate or higher","87.0%","80.8%","93.9%","91.4%","89.7%","89.1%","66.9%"
"    Bachelor's degree or higher","29.1%","52.6%","49.0%","48.0%","53.6%","72.2%","25.7%"
"    Male, bachelor's degree or higher","29.1%","55.2%","55.2%","42.8%","60.0%","76.3%","27.4%"
"    Female, bachelor's degree or higher","29.1%","50.4%","44.6%","51.6%","48.9%","67.8%","24.2%"
"FERTILITY","","","","","","",""
"    Women 15 to 50 years","76,187,270","1,074,154","199,834","778,599","453,211","880,766","483,994"
"    Women 15 to 50 years who had a birth in the past 12 months","4,125,353","50,507","9,202","42,421","19,561","61,974","26,043"
"        Unmarried women 15 to 50 years who had a birth in the past 12 months","1,483,976","3,890","1,110","8,670","1,353","1,798","4,791"
"            As a percent of all women with a birth in the past 12 months","36.0%","7.7%","12.1%","20.4%","6.9%","2.9%","18.4%"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","","","","",""
"    Population 30 years and over","187,483,709","2,246,780","612,598","1,742,957","912,160","1,748,900","999,423"
"    Living with grandchild(ren)","3.8%","5.2%","2.4%","7.8%","2.6%","6.3%","6.8%"
"        Responsible for grandchild(ren)","38.8%","15.5%","27.5%","17.2%","13.9%","11.9%","15.2%"
"VETERAN STATUS","","","","","","",""
"    Civilian population 18 years and over","239,178,768","2,962,224","702,088","2,150,625","1,181,982","2,316,065","1,283,909"
"    Civilian veteran","8.9%","1.2%","7.4%","4.6%","2.3%","0.6%","1.5%"
"DISABILITY STATUS","","","","","","",""
"    Total civilian noninstitutionalized population","308,896,460","3,647,410","772,709","2,633,488","1,438,985","3,043,503","1,665,077"
"    With a disability","12.2%","5.6%","10.5%","8.1%","5.7%","4.6%","7.4%"
"    Civilian noninstitutionalized population under 18 years","73,577,504","694,437","76,602","492,982","264,401","731,756","388,711"
"    With a disability","4.1%","1.7%","2.5%","2.2%","1.6%","1.3%","2.0%"
"    Civilian noninstitutionalized population 18 to 64 years","193,478,987","2,542,354","508,709","1,804,437","1,016,963","2,100,475","1,127,152"
"    With a disability","10.1%","2.8%","3.9%","5.0%","3.7%","3.3%","5.6%"
"    Civilian noninstitutionalized population 65 years and older","41,839,969","410,619","187,398","336,069","157,621","211,272","149,214"
"    With a disability","35.9%","29.4%","31.8%","33.6%","24.9%","29.4%","35.3%"
"RESIDENCE 1 YEAR AGO","","","","","","",""
"    Population 1 year and over","310,212,755","3,630,340","777,438","2,638,610","1,438,139","3,004,927","1,657,576"
"    Same house","85.0%","83.4%","85.9%","86.1%","80.5%","80.7%","87.4%"
"    Different house in the U.S.","14.4%","12.8%","10.5%","12.3%","16.2%","15.1%","11.5%"
"        Same county","9.0%","7.6%","6.9%","8.5%","9.6%","8.3%","7.7%"
"        Different county","5.4%","5.2%","3.6%","3.8%","6.5%","6.9%","3.7%"
"            Same state","3.2%","2.9%","1.7%","2.2%","3.6%","2.9%","2.2%"
"            Different state","2.3%","2.4%","1.8%","1.6%","2.9%","4.0%","1.5%"
"    Abroad","0.6%","3.8%","3.6%","1.6%","3.4%","4.1%","1.1%"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","","","","","","",""
"    Native","273,089,382","1,139,335","477,525","916,995","382,757","873,113","543,958"
