"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","318,857,056","3,941,615","759,056","2,770,918","1,476,577","3,491,052","1,714,143"
"        One race","97.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"        Two races","2.8%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Three races","0.2%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","318,857,056","3,941,615","759,056","2,770,918","1,476,577","3,491,052","1,714,143"
"        Male","49.2%","46.7%","41.6%","44.2%","45.1%","51.6%","47.6%"
"        Female","50.8%","53.3%","58.4%","55.8%","54.9%","48.4%","52.4%"
"    Under 5 years","6.2%","4.4%","2.8%","3.8%","3.6%","8.0%","4.3%"
"    5 to 17 years","16.9%","13.5%","6.7%","13.2%","13.2%","15.9%","17.0%"
"    18 to 24 years","9.9%","11.8%","5.8%","8.9%","11.1%","7.8%","9.8%"
"    25 to 34 years","13.6%","15.7%","10.8%","14.4%","16.7%","22.0%","14.1%"
"    35 to 44 years","12.8%","14.7%","14.6%","16.4%","16.8%","19.4%","17.5%"
"    45 to 54 years","13.6%","14.8%","16.6%","15.5%","14.7%","11.2%","15.1%"
"    55 to 64 years","12.6%","12.6%","16.3%","13.5%","11.8%","7.8%","11.8%"
"    65 to 74 years","8.3%","7.0%","11.3%","9.2%","7.5%","5.3%","6.8%"
"    75 years and over","6.2%","5.5%","15.0%","5.2%","4.6%","2.5%","3.6%"
"    Median age (years)","37.7","38.2","50.7","41.2","38.6","33.4","38.6"
"    18 years and over","76.9%","82.1%","90.4%","83.0%","83.1%","76.1%","78.7%"
