"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","328,239,523","4,404,678","755,672","2,983,596","1,461,843","4,240,466","1,873,707"
"        One race","96.6%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"        Two races","3.1%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Three races","0.3%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","328,239,523","4,404,678","755,672","2,983,596","1,461,843","4,240,466","1,873,707"
"        Male","49.2%","46.5%","42.7%","43.4%","44.9%","51.7%","47.8%"
"        Female","50.8%","53.5%","57.3%","56.6%","55.1%","48.3%","52.2%"
"        Under 5 years","5.9%","3.9%","2.8%","3.1%","3.3%","6.6%","3.3%"
"        5 to 17 years","16.3%","12.4%","6.8%","11.5%","11.8%","16.4%","15.2%"
"        18 to 24 years","9.3%","11.0%","5.5%","8.8%","8.5%","7.2%","10.0%"
"        25 to 34 years","13.9%","16.9%","9.6%","14.4%","15.7%","20.1%","14.0%"
"        35 to 44 years","12.8%","13.7%","13.5%","15.3%","16.8%","21.1%","13.5%"
"        45 to 54 years","12.4%","13.9%","15.6%","15.9%","15.5%","11.9%","17.6%"
"        55 to 64 years","12.9%","13.0%","16.7%","14.1%","12.9%","7.7%","12.8%"
"        65 to 74 years","9.6%","9.0%","14.6%","10.5%","8.3%","5.8%","8.5%"
"        75 years and over","6.9%","6.3%","14.8%","6.4%","7.0%","3.2%","5.0%"
"        Median age (years)","38.5","39.1","52.4","43.2","41.1","34.8","40.6"
"        18 years and over","77.8%","83.7%","90.4%","85.5%","84.8%","77.0%","81.5%"
"        21 years and over","73.7%","79.2%","87.9%","81.8%","81.1%","74.0%","77.2%"
"        62 years and over","20.2%","19.0%","34.7%","21.0%","19.1%","11.1%","16.7%"
"        65 years and over","16.5%","15.2%","29.4%","16.9%","15.4%","8.9%","13.4%"
"        Under 18 years","72,967,785","717,326","72,563","434,101","221,807","976,697","346,903"
"            Male","51.1%","49.7%","51.5%","51.0%","52.8%","51.6%","50.0%"
"            Female","48.9%","50.3%","48.5%","49.0%","47.2%","48.4%","50.0%"
"        18 years and over","255,271,738","3,687,352","683,109","2,549,495","1,240,036","3,263,769","1,526,804"
"            Male","48.7%","45.9%","41.7%","42.1%","43.4%","51.8%","47.3%"
"            Female","51.3%","54.1%","58.3%","57.9%","56.6%","48.2%","52.7%"
"        18 to 34 years","75,951,645","1,228,759","113,766","692,424","353,770","1,160,511","450,867"
"            Male","50.9%","48.6%","49.9%","48.7%","50.4%","50.5%","49.3%"
"            Female","49.1%","51.4%","50.1%","51.3%","49.6%","49.5%","50.7%"
"        35 to 64 years","125,246,065","1,787,483","346,831","1,351,820","661,490","1,724,762","824,090"
"            Male","49.2%","44.4%","41.5%","40.5%","41.9%","53.1%","47.2%"
"            Female","50.8%","55.6%","58.5%","59.5%","58.1%","46.9%","52.8%"
"        65 years and over","54,074,028","671,110","222,512","505,251","224,776","378,496","251,847"
"            Male","44.5%","45.3%","37.9%","37.3%","36.9%","49.5%","43.7%"
"            Female","55.5%","54.7%","62.1%","62.7%","63.1%","50.5%","56.3%"
"RELATIONSHIP","","","","","","",""
"    Population in households","320,155,161","4,273,582","737,392","2,941,639","1,421,182","4,181,289","1,841,497"
"        Householder or spouse","56.6%","59.1%","71.9%","52.6%","63.6%","57.5%","49.5%"
"        Unmarried partner","2.5%","1.4%","1.9%","1.9%","1.6%","0.6%","1.5%"
"        Child","29.6%","23.2%","15.5%","25.1%","23.0%","29.2%","28.5%"
"        Other relatives","7.5%","10.1%","6.2%","15.5%","7.1%","8.6%","16.1%"
"        Other nonrelatives","3.8%","6.2%","4.5%","5.0%","4.7%","4.1%","4.3%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","122,802,852","1,590,686","316,284","869,199","546,377","1,396,268","554,147"
"        Family households","64.8%","66.4%","58.2%","77.6%","64.8%","78.7%","77.4%"
"            With own children of the householder under 18 years","26.4%","27.5%","18.3%","30.0%","26.7%","46.3%","34.5%"
"        Married-couple family","47.5%","54.1%","46.4%","58.3%","53.5%","72.1%","58.8%"
"            With own children of the householder under 18 years","18.0%","23.5%","15.3%","24.0%","23.3%","44.0%","28.0%"
"        Female householder, no spouse present, family","12.3%","8.0%","8.6%","13.9%","8.0%","3.7%","11.6%"
"            With own children of the householder under 18 years","6.2%","2.9%","2.3%","4.5%","2.5%","1.6%","4.5%"
"        Nonfamily households","35.2%","33.6%","41.8%","22.4%","35.2%","21.3%","22.6%"
"            Male householder","16.6%","16.0%","18.5%","9.0%","15.1%","13.1%","11.5%"
"                Living alone","12.7%","11.1%","15.8%","6.4%","11.1%","9.0%","8.4%"
"                Not living alone","3.8%","4.9%","2.7%","2.6%","4.0%","4.1%","3.1%"
"            Female householder","18.6%","17.6%","23.3%","13.4%","20.1%","8.2%","11.1%"
"                Living alone","15.6%","13.4%","21.0%","10.1%","16.9%","6.1%","8.1%"
"                Not living alone","3.1%","4.2%","2.3%","3.3%","3.2%","2.0%","3.0%"
"        Average household size","2.61","2.66","2.23","3.30","2.50","3.01","3.32"
