"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","311,591,919","3,520,150","756,898","2,538,325","1,449,876","2,908,204","1,669,447"
"    One race","97.2%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"    Two races","2.6%","(X)","(X)","(X)","(X)","(X)","(X)"
"    Three races","0.2%","(X)","(X)","(X)","(X)","(X)","(X)"
"    Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","311,591,919","3,520,150","756,898","2,538,325","1,449,876","2,908,204","1,669,447"
"    Male","49.2%","46.9%","42.6%","44.2%","44.5%","51.7%","48.9%"
"    Female","50.8%","53.1%","57.4%","55.8%","55.5%","48.3%","51.1%"
"    Under 5 years","6.4%","4.5%","2.6%","4.4%","4.4%","8.4%","5.9%"
"    5 to 17 years","17.3%","15.0%","7.9%","14.0%","14.3%","16.1%","18.4%"
"    18 to 24 years","10.0%","11.3%","6.1%","9.2%","12.1%","8.3%","9.7%"
"    25 to 34 years","13.3%","14.7%","11.3%","14.8%","15.9%","23.2%","13.2%"
"    35 to 44 years","13.1%","15.3%","16.0%","16.7%","17.7%","18.5%","19.6%"
"    45 to 54 years","14.3%","15.6%","17.5%","15.4%","14.4%","10.7%","13.9%"
"    55 to 64 years","12.2%","12.2%","15.2%","13.3%","10.8%","8.1%","10.6%"
"    65 to 74 years","7.2%","6.1%","9.0%","7.7%","6.8%","4.7%","5.8%"
"    75 years and over","6.1%","5.4%","14.3%","4.5%","3.5%","2.0%","3.0%"
"    Median age (years)","37.3","38.1","48.6","39.5","37.0","32.5","36.6"
"    18 years and over","76.3%","80.5%","89.4%","81.6%","81.3%","75.5%","75.7%"
"    21 years and over","71.8%","75.9%","87.2%","77.8%","76.2%","72.4%","71.5%"
"    62 years and over","16.7%","14.5%","27.6%","15.9%","13.3%","8.9%","11.5%"
"    65 years and over","13.3%","11.4%","23.3%","12.3%","10.4%","6.7%","8.8%"
"    Under 18 years","73,910,701","685,053","79,859","466,671","271,621","713,254","405,935"
"    Male","51.2%","46.9%","53.1%","53.2%","51.0%","51.0%","52.1%"
"    Female","48.8%","53.1%","46.9%","46.8%","49.0%","49.0%","47.9%"
"    18 years and over","237,681,218","2,835,097","677,039","2,071,654","1,178,255","2,194,950","1,263,512"
"    Male","48.6%","47.0%","41.3%","42.2%","43.0%","52.0%","47.9%"
"    Female","51.4%","53.0%","58.7%","57.8%","57.0%","48.0%","52.1%"
"    18 to 34 years","72,749,894","915,508","131,917","610,272","405,718","914,226","380,987"
"    Male","50.7%","49.0%","44.3%","47.1%","46.8%","51.0%","47.9%"
"    Female","49.3%","51.0%","55.7%","52.9%","53.2%","49.0%","52.1%"
"    35 to 64 years","123,546,298","1,516,897","368,558","1,149,802","622,267","1,086,519","736,408"
"    Male","49.1%","46.1%","44.2%","40.8%","41.5%","52.9%","47.9%"
"    Female","50.9%","53.9%","55.8%","59.2%","58.5%","47.1%","52.1%"
"    65 years and over","41,385,026","402,692","176,564","311,580","150,270","194,205","146,117"
"    Male","43.3%","45.3%","33.2%","38.0%","39.4%","50.9%","47.9%"
"    Female","56.7%","54.7%","66.8%","62.0%","60.6%","49.1%","52.1%"
"RELATIONSHIP","","","","","","",""
"    Population in households","303,585,583","3,420,330","739,103","2,499,604","1,400,841","2,865,824","1,647,029"
"    Householder or spouse","56.2%","55.6%","71.4%","50.3%","59.0%","55.4%","45.7%"
"    Child","30.8%","26.6%","16.6%","28.2%","27.3%","30.7%","32.2%"
"    Other relatives","7.3%","11.2%","5.7%","15.5%","7.7%","9.3%","16.5%"
"    Nonrelatives","5.8%","6.5%","6.2%","5.9%","6.0%","4.6%","5.6%"
"        Unmarried partner","2.2%","0.9%","1.6%","1.7%","1.2%","0.4%","1.3%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","114,991,725","1,178,720","325,145","718,068","496,690","913,213","457,250"
"    Family households","66.2%","70.2%","57.8%","78.3%","66.5%","79.7%","81.0%"
"        With own children under 18 years","29.4%","32.4%","19.7%","36.5%","31.3%","46.5%","44.4%"
"        Married-couple family","48.3%","57.8%","46.1%","58.3%","53.6%","73.1%","60.3%"
"            With own children under 18 years","19.6%","28.2%","16.5%","28.7%","26.3%","43.9%","36.1%"
"        Female householder, no husband present, family","13.1%","8.3%","8.6%","14.9%","9.2%","4.0%","12.5%"
"            With own children under 18 years","7.4%","3.2%","2.4%","6.1%","4.0%","1.8%","5.8%"
"    Nonfamily households","33.8%","29.8%","42.2%","21.7%","33.5%","20.3%","19.0%"
"        Male householder","15.7%","14.4%","18.3%","9.1%","14.2%","13.4%","10.3%"
"            Living alone","12.3%","10.0%","15.7%","6.2%","11.5%","9.3%","7.5%"
"            Not living alone","3.4%","4.4%","2.6%","2.9%","2.7%","4.2%","2.8%"
"        Female householder","18.2%","15.4%","23.9%","12.7%","19.3%","6.9%","8.7%"
"            Living alone","15.5%","11.9%","21.3%","10.0%","15.7%","5.4%","6.4%"
"            Not living alone","2.7%","3.5%","2.6%","2.7%","3.6%","1.5%","2.3%"
"    Average household size","2.64","2.87","2.24","3.42","2.64","3.15","3.59"
"    Average family size","3.25","3.39","2.97","3.84","3.27","3.53","3.96"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","250,392,781","2,956,301","690,681","2,161,693","1,237,330","2,287,431","1,328,818"
"    Now married, except separated","48.3%","58.4%","55.8%","55.7%","55.0%","68.4%","53.7%"
"    Widowed","6.0%","4.2%","8.6%","5.6%","4.1%","3.0%","4.3%"
"    Divorced","11.0%","4.3%","8.7%","6.4%","5.4%","2.6%","6.4%"
"    Separated","2.2%","1.0%","1.1%","2.0%","1.2%","0.8%","1.7%"
"    Never married","32.5%","32.0%","25.7%","30.4%","34.3%","25.3%","33.9%"
"    Male 15 years and over","121,988,172","1,390,519","286,205","924,784","537,374","1,188,540","636,970"
"    Now married, except separated","50.1%","59.2%","55.7%","55.2%","54.8%","66.8%","54.3%"
"    Widowed","2.5%","1.6%","2.6%","1.6%","0.9%","1.1%","1.7%"
"    Divorced","9.7%","3.0%","7.2%","4.9%","3.3%","2.4%","4.9%"
"    Separated","1.9%","0.8%","1.2%","1.5%","1.0%","0.7%","1.4%"
"    Never married","35.8%","35.4%","33.3%","36.9%","40.1%","29.0%","37.8%"
"    Female 15 years and over","128,404,609","1,565,782","404,476","1,236,909","699,956","1,098,891","691,848"
"    Now married, except separated","46.6%","57.7%","55.9%","56.1%","55.2%","70.1%","53.1%"
"    Widowed","9.3%","6.6%","12.9%","8.7%","6.5%","5.1%","6.7%"
"    Divorced","12.2%","5.5%","9.8%","7.4%","7.0%","2.8%","7.7%"
"    Separated","2.6%","1.2%","1.1%","2.3%","1.4%","0.9%","2.0%"
"    Never married","29.4%","29.0%","20.3%","25.5%","29.9%","21.2%","30.4%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","83,131,910","1,069,423","126,909","635,204","457,320","837,169","512,161"
