"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","327,167,439","4,395,912","782,776","2,920,160","1,468,279","4,161,088","1,862,395"
"        One race","96.6%","100%","100%","100%","100%","100%","100%"
"        Two races","3.1%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Three races","0.3%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Four or more races","0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","327,167,439","4,395,912","782,776","2,920,160","1,468,279","4,161,088","1,862,395"
"        Male","49.2%","46.6%","42.5%","43.4%","45%","52.2%","47.7%"
"        Female","50.8%","53.4%","57.5%","56.6%","55%","47.8%","52.3%"
"        Under 5 years","6%","4.1%","3%","3.1%","3.2%","6.7%","3.9%"
"        5 to 17 years","16.4%","12.5%","6.6%","12%","11.6%","16.2%","15.4%"
"        18 to 24 years","9.4%","11.5%","5.4%","8.9%","9%","7.9%","10.5%"
"        25 to 34 years","13.9%","16.8%","10.2%","14.4%","16.2%","21.1%","13.8%"
"        35 to 44 years","12.7%","13.7%","13.7%","15.3%","16.5%","20.3%","14.6%"
"        45 to 54 years","12.7%","14.3%","15.6%","15.5%","15.4%","11.9%","17%"
"        55 to 64 years","12.9%","12.8%","16.5%","14%","13.1%","7.7%","11.8%"
"        65 to 74 years","9.3%","8.4%","14%","10.5%","8.6%","5.5%","8.1%"
"        75 years and over","6.7%","5.9%","15.1%","6.4%","6.4%","2.8%","4.9%"
"        Median age (years)","38.2","38.5","52.1","42.7","41","34.2","39.7"
"        18 years and over","77.6%","83.4%","90.4%","84.9%","85.1%","77.1%","80.7%"
"        21 years and over","73.5%","78.6%","88.3%","81.1%","81.5%","73.7%","76.1%"
"        62 years and over","19.7%","17.8%","33.9%","20.9%","18.5%","10.3%","16.2%"
"        65 years and over","16%","14.3%","29.1%","16.9%","15%","8.3%","13.1%"
"        Under 18 years","73,352,242","729,329","74,965","440,513","218,143","954,122","358,822"
"            Male","51.2%","49.3%","49.4%","51%","53.8%","51.9%","52.3%"
"            Female","48.8%","50.7%","50.6%","49%","46.2%","48.1%","47.7%"
"        18 years and over","253,815,197","3,666,583","707,811","2,479,647","1,250,136","3,206,966","1,503,573"
"            Male","48.7%","46%","41.7%","42%","43.4%","52.3%","46.6%"
"            Female","51.3%","54%","58.3%","58%","56.6%","47.7%","53.4%"
"        18 to 34 years","76,001,024","1,246,142","121,794","679,166","369,665","1,206,021","451,329"
"            Male","50.9%","48.8%","50.1%","48%","49.2%","51.8%","47.6%"
"            Female","49.1%","51.2%","49.9%","52%","50.8%","48.2%","52.4%"
"        35 to 64 years","125,391,059","1,793,904","358,478","1,307,074","660,155","1,655,624","808,659"
"            Male","49.1%","44.6%","41.3%","40.7%","42.3%","52.7%","46.7%"
"            Female","50.9%","55.4%","58.7%","59.3%","57.7%","47.3%","53.3%"
"        65 years and over","52,423,114","626,537","227,539","493,407","220,316","345,321","243,585"
"            Male","44.4%","44.7%","37.8%","37.2%","37.2%","52.2%","44.4%"
"            Female","55.6%","55.3%","62.2%","62.8%","62.8%","47.8%","55.6%"
"RELATIONSHIP","","","","","","",""
"    Population in households","319,075,830","4,265,728","762,824","2,874,580","1,430,889","4,093,270","1,833,190"
"        Householder or spouse","56.3%","58.3%","72.2%","51.8%","62.9%","57.5%","48.3%"
"        Child","29.9%","23.2%","15.9%","25.5%","23.2%","29.1%","29.2%"
"        Other relatives","7.5%","10.3%","5.8%","15.6%","7.3%","8.6%","16.1%"
"        Nonrelatives","6.3%","8.2%","6.1%","7.1%","6.5%","4.8%","6.4%"
"            Unmarried partner","2.5%","1.3%","1.7%","1.8%","1.5%","0.4%","1.5%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","121,520,180","1,565,802","333,910","832,841","545,601","1,365,414","538,757"
"        Family households","65.2%","67.2%","59.5%","77.2%","66.2%","78.9%","78.5%"
"            With own children of the householder under 18 years","27%","28.5%","19.5%","30.6%","26.5%","46.3%","37.6%"
"        Married-couple family","47.9%","55.4%","47.2%","58.5%","53.9%","72.6%","58.4%"
"            With own children of the householder under 18 years","18.3%","24.5%","16.2%","24.8%","23%","43.9%","30.1%"
"        Female householder, no husband present, family","12.4%","7.8%","9.3%","13.7%","8.4%","3.4%","12.9%"
"            With own children of the householder under 18 years","6.4%","3%","2.6%","4.3%","2.6%","1.7%","5.5%"
"        Nonfamily households","34.8%","32.8%","40.5%","22.8%","33.8%","21.1%","21.5%"
"            Male householder","16.3%","15.5%","17.4%","9.4%","14.2%","13.7%","11%"
"                Living alone","12.6%","10.5%","14.6%","6.8%","11%","9.5%","8%"
"                Not living alone","3.7%","5%","2.8%","2.6%","3.2%","4.2%","2.9%"
"            Female householder","18.5%","17.3%","23.1%","13.4%","19.6%","7.4%","10.5%"
"                Living alone","15.4%","12.7%","20.3%","10%","16.1%","5.6%","7.9%"
"                Not living alone","3%","4.7%","2.8%","3.5%","3.5%","1.8%","2.7%"
"        Average household size","2.63","2.71","2.27","3.32","2.51","3.02","3.38"
"        Average family size","3.24","3.22","2.95","3.73","3.07","3.38","3.77"
"MARITAL STATUS","","","","","","",""
"    Population 15 years and over","266,322,302","3,811,386","718,608","2,572,328","1,296,300","3,333,233","1,581,012"
"        Now married, except separated","47.8%","57%","56.8%","54.7%","56.7%","68.4%","53%"
"        Widowed","5.7%","4%","9.3%","6%","4.6%","3%","4.5%"
"        Divorced","10.9%","5%","8.8%","6.6%","5.9%","2.6%","6.7%"
"        Separated","1.9%","0.8%","1%","1.5%","1.1%","0.5%","1.3%"
"        Never married","33.8%","33.2%","24%","31.1%","31.7%","25.5%","34.5%"
"    Male 15 years and over","129,973,543","1,753,829","301,019","1,088,006","568,081","1,742,734","740,175"
"        Now married, except separated","49.3%","58%","57.6%","54.2%","56%","67.2%","54.3%"
"        Widowed","2.6%","1.3%","3.4%","1.9%","1.4%","1.2%","1.8%"
"        Divorced","9.5%","3.4%","6.9%","4.9%","3.9%","2.2%","5.1%"
"        Separated","1.6%","0.6%","1.1%","1.1%","0.8%","0.5%","1.2%"
"        Never married","37%","36.6%","31%","37.9%","37.9%","28.9%","37.6%"
"    Female 15 years and over","136,348,759","2,057,557","417,589","1,484,322","728,219","1,590,499","840,837"
"        Now married, except separated","46.3%","56.2%","56.2%","55.1%","57.3%","69.7%","51.9%"
"        Widowed","8.7%","6.3%","13.6%","9%","7.1%","4.9%","6.8%"
"        Divorced","12.1%","6.3%","10.2%","7.9%","7.5%","3.1%","8.1%"
"        Separated","2.2%","0.9%","1%","1.9%","1.4%","0.5%","1.4%"
"        Never married","30.7%","30.3%","19%","26.1%","26.8%","21.8%","31.7%"
"SCHOOL ENROLLMENT","","","","","","",""
"    Population 3 years and over enrolled in school","80,916,775","1,212,445","113,993","645,593","361,581","1,140,779","520,785"
"        Nursery school, preschool","6.1%","4.7%","6.8%","3.5%","4.8%","7.5%","3.6%"
"        Kindergarten","4.9%","3.5%","3.7%","3.6%","2.9%","5.6%","4%"
"        Elementary school (grades 1-8)","40.5%","26.3%","28.2%","31.5%","27.3%","37.5%","31.3%"
"        High school (grades 9-12)","21.1%","16%","13.7%","19.6%","17.3%","15.1%","21.1%"
"        College or graduate school","27.3%","49.4%","47.6%","41.8%","47.6%","34.3%","40%"
"    Male 3 years and over enrolled in school","40,133,721","590,264","56,810","315,168","183,843","594,198","260,289"
"        Percent enrolled in kindergarten to grade 12","68.9%","45%","46.3%","56.7%","49.9%","57.2%","59.1%"
"        Percent enrolled in college or graduate school","24.7%","50%","47.6%","39.7%","45.3%","35.1%","37.5%"
"    Female 3 years and over enrolled in school","40,783,054","622,181","57,183","330,425","177,738","546,581","260,496"
"        Percent enrolled in kindergarten to grade 12","64.3%","46.7%","45%","52.8%","45.2%","59.2%","53.7%"
"        Percent enrolled in college or graduate school","29.8%","48.9%","47.6%","43.9%","50%","33.5%","42.5%"
"EDUCATIONAL ATTAINMENT","","","","","","",""
