"Label (Grouping)","United States!!Total population!!Estimate","United States!!Chinese alone (410-419)!!Estimate","United States!!Japanese alone (430-439)!!Estimate","United States!!Filipino alone (420-421)!!Estimate","United States!!Korean alone (440-441)!!Estimate","United States!!Asian Indian alone (400-401)!!Estimate","United States!!Vietnamese alone (450-459)!!Estimate"
"TOTAL NUMBER OF RACES REPORTED","","","","","","",""
"    Total population","325,719,178","4,344,981","770,546","2,911,668","1,477,282","4,094,539","1,826,998"
"        One race","96.7%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%"
"        Two races","3.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Three races","0.3%","(X)","(X)","(X)","(X)","(X)","(X)"
"        Four or more races","0.0%","(X)","(X)","(X)","(X)","(X)","(X)"
"SEX AND AGE","","","","","","",""
"    Total population","325,719,178","4,344,981","770,546","2,911,668","1,477,282","4,094,539","1,826,998"
"        Male","49.2%","46.5%","43.2%","43.6%","44.3%","51.6%","47.6%"
"        Female","50.8%","53.5%","56.8%","56.4%","55.7%","48.4%","52.4%"
"    Under 5 years","6.1%","4.3%","2.6%","3.3%","3.8%","7.2%","4.0%"
"    5 to 17 years","16.5%","12.7%","6.9%","12.7%","12.0%","16.2%","15.7%"
"    18 to 24 years","9.5%","10.8%","6.0%","9.1%","9.2%","7.7%","10.5%"
"    25 to 34 years","13.8%","17.1%","9.7%","14.4%","16.1%","21.7%","13.9%"
"    35 to 44 years","12.6%","14.0%","13.7%","15.6%","16.7%","19.9%","14.7%"
"    45 to 54 years","13.0%","14.5%","15.7%","15.4%","15.5%","11.5%","16.8%"
"    55 to 64 years","12.9%","12.3%","17.1%","14.0%","12.9%","7.9%","12.1%"
"    65 to 74 years","9.1%","8.2%","13.1%","9.8%","8.0%","5.2%","7.8%"
"    75 years and over","6.5%","6.1%","15.1%","5.7%","5.7%","2.8%","4.5%"
"    Median age (years)","38.1","38.6","52.0","41.7","40.4","33.8","39.2"
"    18 years and over","77.4%","83.0%","90.4%","84.0%","84.2%","76.6%","80.3%"
"    21 years and over","73.3%","78.5%","88.1%","80.2%","80.4%","73.6%","75.6%"
"    62 years and over","19.2%","17.7%","33.1%","19.4%","17.3%","10.1%","15.8%"
"    65 years and over","15.6%","14.3%","28.2%","15.5%","13.7%","8.0%","12.3%"
"    Under 18 years","73,648,683","739,684","73,706","465,415","233,571","957,076","359,758"
"        Male","51.2%","48.4%","53.9%","51.2%","50.6%","50.3%","51.6%"
"        Female","48.8%","51.6%","46.1%","48.8%","49.4%","49.7%","48.4%"
"    18 years and over","252,070,495","3,605,297","696,840","2,446,253","1,243,711","3,137,463","1,467,240"
"        Male","48.7%","46.1%","42.1%","42.2%","43.2%","52.0%","46.7%"
"        Female","51.3%","53.9%","57.9%","57.8%","56.8%","48.0%","53.3%"
"    18 to 34 years","75,786,147","1,213,040","121,188","684,896","373,467","1,202,544","446,488"
"        Male","50.9%","48.5%","45.8%","47.8%","49.2%","51.2%","47.0%"
"        Female","49.1%","51.5%","54.2%","52.2%","50.8%","48.8%","53.0%"
"    35 to 64 years","125,468,636","1,772,604","358,700","1,310,246","667,664","1,607,633","795,990"
"        Male","49.1%","45.0%","43.9%","40.9%","41.4%","52.7%","46.8%"
"        Female","50.9%","55.0%","56.1%","59.1%","58.6%","47.3%","53.2%"
"    65 years and over","50,815,712","619,653","216,952","451,111","202,580","327,286","224,762"
"        Male","44.3%","44.6%","37.0%","37.5%","37.9%","51.2%","45.5%"
"        Female","55.7%","55.4%","63.0%","62.5%","62.1%","48.8%","54.5%"
"RELATIONSHIP","","","","","","",""
"    Population in households","317,631,941","4,228,429","749,839","2,867,431","1,438,203","4,032,133","1,801,316"
"        Householder or spouse","56.0%","56.4%","72.0%","51.1%","61.7%","56.8%","48.1%"
"        Child","30.2%","23.8%","15.7%","26.9%","24.7%","29.5%","29.5%"
"        Other relatives","7.6%","11.6%","6.0%","15.4%","7.4%","9.1%","16.8%"
"        Nonrelatives","6.2%","8.2%","6.3%","6.6%","6.2%","4.6%","5.6%"
"            Unmarried partner","2.3%","1.2%","1.7%","1.6%","1.3%","0.4%","1.3%"
"HOUSEHOLDS BY TYPE","","","","","","",""
"    Households","120,062,818","1,504,852","330,213","824,910","526,775","1,309,793","524,097"
